"Supplier Key","WWI Supplier ID","Supplier","Category","Primary Contact","Supplier Reference","Payment Days","Postal Code","Valid From","Valid To","Lineage Key"
"0","0","Unknown","N/A","N/A","N/A","0","N/A","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999","0"
"1","1","A Datum Corporation","Novelty Goods Supplier","Reio Kabin","AA20384","14","46077","2013-01-01 00:00:00.0000000","2013-01-01 00:05:00.0000000","6"
"2","13","Woodgrove Bank","Financial Services Supplier","Hubert Helms","028034202","7","94101","2013-01-01 00:00:00.0000000","2013-01-01 00:05:00.0000000","6"
"3","3","Consolidated Messenger","Courier","Kerstin Parn","209340283","30","94101","2013-01-01 00:00:00.0000000","2013-01-01 00:05:00.0000000","6"
"4","7","Litware, Inc.","Packaging Supplier","Elias Myllari","BC0280982","30","95245","2013-01-01 00:00:00.0000000","2013-01-01 00:05:00.0000000","6"
"5","6","Humongous Insurance","Insurance Services Supplier","Madelaine  Cartier","082420938","14","37770","2013-01-01 00:00:00.0000000","2013-01-01 00:05:00.0000000","6"
"6","5","Graphic Design Institute","Novelty Goods Supplier","Penny Buck","08803922","14","64847","2013-01-01 00:00:00.0000000","2013-01-01 00:05:00.0000000","6"
"7","4","Fabrikam, Inc.","Clothing Supplier","Bill Lawson","293092","30","40351","2013-01-01 00:00:00.0000000","2013-01-01 00:05:00.0000000","6"
"8","12","The Phone Company","Novelty Goods Supplier","Hai Dam","237408032","30","56732","2013-01-01 00:00:00.0000000","2013-01-01 00:05:00.0000000","6"
"9","11","Trey Research","Marketing Services Supplier","Donald Jones","082304822","7","57543","2013-01-01 00:00:00.0000000","2013-01-01 00:05:00.0000000","6"
"10","8","Lucerne Publishing","Novelty Goods Supplier","Prem Prabhu","JQ082304802","30","37659","2013-01-01 00:00:00.0000000","2013-01-01 00:05:00.0000000","6"
"11","2","Contoso, Ltd.","Novelty Goods Supplier","Hanna Mihhailov","B2084020","7","98253","2013-01-01 00:00:00.0000000","2013-01-01 00:05:00.0000000","6"
"12","9","Nod Publishers","Novelty Goods Supplier","Marcos Costa","GL08029802","7","27906","2013-01-01 00:00:00.0000000","2013-01-01 00:05:00.0000000","6"
"13","10","Northwind Electric Cars","Toy Supplier","Eliza Soderberg","ML0300202","30","07860","2013-01-01 00:00:00.0000000","2013-01-01 00:05:00.0000000","6"
"14","1","A Datum Corporation","Novelty Goods Supplier","Reio Kabin","AA20384","14","46077","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
"15","2","Contoso, Ltd.","Novelty Goods Supplier","Hanna Mihhailov","B2084020","7","98253","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
"16","3","Consolidated Messenger","Courier","Kerstin Parn","209340283","30","94101","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
"17","4","Fabrikam, Inc.","Clothing Supplier","Bill Lawson","293092","30","40351","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
"18","5","Graphic Design Institute","Novelty Goods Supplier","Penny Buck","08803922","14","64847","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
"19","6","Humongous Insurance","Insurance Services Supplier","Madelaine  Cartier","082420938","14","37770","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
"20","7","Litware, Inc.","Packaging Supplier","Elias Myllari","BC0280982","30","95245","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
"21","8","Lucerne Publishing","Novelty Goods Supplier","Prem Prabhu","JQ082304802","30","37659","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
"22","9","Nod Publishers","Novelty Goods Supplier","Marcos Costa","GL08029802","7","27906","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
"23","10","Northwind Electric Cars","Toy Supplier","Eliza Soderberg","ML0300202","30","07860","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
"24","11","Trey Research","Marketing Services Supplier","Donald Jones","082304822","7","57543","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
"25","12","The Phone Company","Novelty Goods Supplier","Hai Dam","237408032","30","56732","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
"26","13","Woodgrove Bank","Financial Services Supplier","Hubert Helms","028034202","7","94101","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
"27","3","Consolidated Messenger","Courier Services Supplier","Kerstin Parn","209340283","30","94101","2013-01-01 00:05:00.0000000","9999-12-31 23:59:59.9999999","6"
