"Purchase Key","Date Key","Supplier Key","Stock Item Key","WWI Purchase Order ID","Ordered Outers","Ordered Quantity","Received Outers","Package","Is Order Finalized","Lineage Key"
"5","2013-01-01","17","143","2","1","12","1","Carton","True","10"
"95","2013-01-02","17","143","7","6","72","6","Carton","True","10"
"140","2013-01-03","17","143","12","11","132","11","Carton","True","10"
"172","2013-01-04","17","143","17","9","108","9","Carton","True","10"
"187","2013-01-05","17","143","21","2","24","2","Carton","True","10"
"202","2013-01-07","17","143","26","2","24","2","Carton","True","10"
"220","2013-01-09","17","143","32","2","24","2","Carton","True","10"
"225","2013-01-10","17","143","36","3","36","3","Carton","True","10"
"231","2013-01-11","17","143","39","6","72","6","Carton","True","10"
"241","2013-01-14","17","143","43","8","96","8","Carton","True","10"
"248","2013-01-15","17","143","47","9","108","9","Carton","True","10"
"255","2013-01-16","17","143","50","6","72","6","Carton","True","10"
"259","2013-01-17","17","143","51","5","60","5","Carton","True","10"
"264","2013-01-18","17","143","52","13","156","13","Carton","True","10"
"270","2013-01-19","17","143","54","9","108","9","Carton","True","10"
"272","2013-01-21","17","143","56","18","216","18","Carton","True","10"
"277","2013-01-22","17","143","57","29","348","29","Carton","True","10"
"281","2013-01-23","17","143","58","28","336","28","Carton","True","10"
"286","2013-01-24","17","143","59","27","324","27","Carton","True","10"
"291","2013-01-25","17","143","60","26","312","26","Carton","True","10"
"296","2013-01-26","17","143","61","8","96","8","Carton","True","10"
"300","2013-01-28","17","143","63","33","396","33","Carton","True","10"
"306","2013-01-29","17","143","65","44","528","44","Carton","True","10"
"313","2013-01-30","17","143","67","50","600","50","Carton","True","10"
"318","2013-01-31","17","143","68","57","684","57","Carton","True","10"
"324","2013-02-01","17","143","69","64","768","64","Carton","True","10"
"330","2013-02-02","17","143","70","8","96","8","Carton","True","10"
"334","2013-02-04","17","143","71","70","840","70","Carton","True","10"
"340","2013-02-05","17","143","72","69","828","69","Carton","True","10"
"346","2013-02-06","17","143","73","68","816","68","Carton","True","10"
"352","2013-02-07","17","143","74","67","804","67","Carton","True","10"
"357","2013-02-08","17","143","75","66","792","66","Carton","True","10"
"366","2013-02-11","17","143","77","74","888","74","Carton","True","10"
"372","2013-02-12","17","143","78","77","924","77","Carton","True","10"
"378","2013-02-13","17","143","79","85","1020","85","Carton","True","10"
"385","2013-02-14","17","143","81","89","1068","89","Carton","True","10"
"392","2013-02-15","17","143","83","92","1104","92","Carton","True","10"
"399","2013-02-16","17","143","85","2","24","2","Carton","True","10"
"402","2013-02-18","17","143","86","91","1092","91","Carton","True","10"
"409","2013-02-19","17","143","88","93","1116","93","Carton","True","10"
"416","2013-02-20","17","143","90","91","1092","91","Carton","True","10"
"423","2013-02-21","17","143","92","89","1068","89","Carton","True","10"
"430","2013-02-22","17","143","94","87","1044","87","Carton","True","10"
"441","2013-02-25","17","143","98","83","996","83","Carton","True","10"
"448","2013-02-26","17","143","100","89","1068","89","Carton","True","10"
"455","2013-02-27","17","143","102","87","1044","87","Carton","True","10"
"462","2013-02-28","17","143","104","85","1020","85","Carton","True","10"
"469","2013-03-01","17","143","106","92","1104","92","Carton","True","10"
"476","2013-03-02","17","143","108","6","72","6","Carton","True","10"
"481","2013-03-04","17","143","109","97","1164","97","Carton","True","10"
